,seller_id,seller_city_x,seller_state_x,product_id_x,product_category_name_x,seller_city_y,seller_state_y,product_id_y,product_category_name_y,Delivery_time,review_avg,total_orders,total_income
0,629,maua,SP,58,6,maua,SP,58,6,7.52,4.43,58,2548.8
1,2724,maua,SP,229,6,maua,SP,229,6,9.38,4.07,229,12520.1
2,476,belo horizonte,SP,126,4,belo horizonte,SP,126,4,6.73,4.58,126,13544.95
3,2882,sao goncalo,RJ,142,2,sao goncalo,RJ,142,2,12.79,4.35,142,16443.100000000002
4,64,santo andre,SP,66,2,santo andre,SP,66,2,10.29,4.35,66,7889.9
5,326,limeira,SP,22,7,limeira,SP,22,7,7.64,4.55,22,2461.41
6,854,guariba,SP,1178,10,guariba,SP,1178,10,15.25,4.11,1178,236465.64
7,2150,pradopolis,SP,158,5,pradopolis,SP,158,5,16.57,4.17,158,45532.17
8,2613,formiga,MG,82,6,formiga,MG,82,6,10.11,4.59,82,16637.6
9,1557,barueri,SP,351,8,barueri,SP,351,8,11.3,4.21,351,182648.18
10,3019,sumare,SP,605,5,sumare,SP,605,5,13.39,4.34,605,202716.62
11,806,rio de janeiro,RJ,20,1,rio de janeiro,RJ,20,1,16.0,1.25,20,2867.1000000000004
12,2387,guarulhos,SP,43,5,guarulhos,SP,43,5,16.05,3.21,43,13323.5
13,1537,ribeirao preto,SP,594,7,ribeirao preto,SP,594,7,15.96,4.0,594,121140.06
14,553,campinas,SP,215,11,campinas,SP,215,11,18.05,2.72,215,42331.41
15,212,laranjeiras do sul,SP,3,1,laranjeiras do sul,SP,3,1,18.67,2.67,3,1459.97
16,2270,guarulhos,SP,16,1,guarulhos,SP,16,1,11.56,4.19,16,3594.9
17,1082,conselheiro lafaiete,MG,45,3,conselheiro lafaiete,MG,45,3,10.33,4.16,45,6833.0
18,1429,colombo,PR,87,4,colombo,PR,87,4,11.17,4.49,87,23096.6
19,302,pradopolis,SP,10,3,pradopolis,SP,10,3,12.22,3.9,10,2943.51
20,2586,cotia,SP,62,2,cotia,SP,62,2,10.14,4.23,62,20160.9
21,22,mogi das cruzes,SP,5,1,mogi das cruzes,SP,5,1,6.8,5.0,5,1465.99
22,919,entre rios do oeste,PR,8,2,entre rios do oeste,PR,8,2,13.0,4.0,8,4465.34
23,1250,belo horizonte,MG,162,1,belo horizonte,MG,162,1,11.3,4.46,162,14953.3
24,526,mogi das cruzes,SP,172,5,mogi das cruzes,SP,172,5,13.81,3.93,172,6182.74
25,1634,guarulhos,SP,457,1,guarulhos,SP,457,1,12.96,4.24,457,67912.45
26,2662,sao paulo,SP,61,2,sao paulo,SP,61,2,12.52,3.08,61,2475.2999999999997
27,257,atibaia,SP,411,7,atibaia,SP,411,7,9.23,4.05,411,25811.04
28,1394,videira,SC,222,14,videira,SC,222,14,15.36,4.0,222,37770.78
29,1216,sao jose do rio pardo,SP,7,2,sao jose do rio pardo,SP,7,2,16.29,4.43,7,139.5
30,1532,itaquaquecetuba,SP,1454,6,itaquaquecetuba,SP,1454,6,22.43,3.39,1454,198118.3
31,2035,itaquaquecetuba,SP,86,5,itaquaquecetuba,SP,86,5,21.35,3.43,86,12530.630000000001
32,959,itaquaquecetuba,SP,77,4,itaquaquecetuba,SP,77,4,26.25,3.06,77,9622.83
33,2353,lencois paulista,SP,1,1,lencois paulista,SP,1,1,13.0,2.0,1,188.9
34,1,cariacica,ES,238,2,cariacica,ES,238,2,12.9,3.91,238,24938.93
35,2177,rio do sul,SC,8,3,rio do sul,SC,8,3,5.75,3.88,8,1258.93
36,1652,porto alegre,RS,352,8,porto alegre,RS,352,8,10.83,4.36,352,32124.38
37,1894,sao jose dos campos,SP,211,3,sao jose dos campos,SP,211,3,14.99,3.99,211,34656.72
38,509,sao paulo,SP,57,1,sao paulo,SP,57,1,8.35,4.39,57,24358.12
39,119,ribeirao preto,SP,20,2,ribeirao preto,SP,20,2,12.0,4.1,20,1538.1
40,2142,sao paulo,SP,374,27,sao paulo,SP,374,27,14.05,4.13,374,51449.78
41,183,lencois paulista,SP,1,1,lencois paulista,SP,1,1,6.0,3.0,1,129.9
42,292,ibitinga,SP,573,3,ibitinga,SP,573,3,13.0,3.87,573,27190.22
43,148,itajai,SP,154,13,itajai,SP,154,13,10.76,4.19,154,7753.5
44,1993,sao paulo,SP,71,9,sao paulo,SP,71,9,11.49,3.97,71,7926.3
45,1463,sao bernardo do campo,SP,150,8,sao bernardo do campo,SP,150,8,8.77,4.19,150,7271.67
46,1274,guarulhos,SP,101,5,guarulhos,SP,101,5,10.83,3.78,101,5992.51
47,1678,brasilia,DF,12,1,brasilia,DF,12,1,7.42,4.67,12,687.16
48,2831,sao paulo,SP,1233,2,sao paulo,SP,1233,2,13.36,3.96,1233,37967.95
49,1049,campinas,SP,268,1,campinas,SP,268,1,11.15,4.24,268,8754.22
50,1794,sao paulo,SP,379,3,sao paulo,SP,379,3,13.17,3.9,379,6738.43
51,395,sao paulo,SP,446,7,sao paulo,SP,446,7,11.41,3.89,446,13046.77
52,1541,sao paulo,SP,197,2,sao paulo,SP,197,2,13.1,3.91,197,4036.8799999999997
53,2645,sao paulo,SP,148,5,sao paulo,SP,148,5,10.79,4.14,148,3368.2
54,990,barueri,SP,11,1,barueri,SP,11,1,6.8,3.73,11,657.0699999999999
55,105,taubate,SP,9,4,taubate,SP,9,4,10.89,3.78,9,324.2
56,1630,atibaia,SP,34,2,atibaia,SP,34,2,13.53,3.35,34,2690.0
57,2885,sao paulo,SP,345,4,sao paulo,SP,345,4,13.19,3.93,345,9858.38
58,1086,mogi das cruses,SP,14,4,mogi das cruses,SP,14,4,5.46,4.07,14,1089.7
59,2543,ibitinga,SP,691,4,ibitinga,SP,691,4,14.2,3.63,691,23522.86
60,1371,jacarei,SP,350,15,jacarei,SP,350,15,14.45,3.78,350,32234.23
61,1702,sao jose dos campos,SP,159,14,sao jose dos campos,SP,159,14,14.06,3.89,159,9545.6
62,1933,taubate,SP,19,8,taubate,SP,19,8,10.21,4.47,19,1354.0
63,944,jacarei,SP,476,23,jacarei,SP,476,23,14.66,3.91,476,47626.07
64,240,sao paulo,SP,38,6,sao paulo,SP,38,6,8.68,3.82,38,2185.4
65,1050,brasilia,DF,192,11,brasilia,DF,192,11,11.6,3.8,192,8165.29
66,337,fazenda rio grande,PR,9,5,fazenda rio grande,PR,9,5,18.11,3.78,9,785.97
67,1210,sao paulo,SP,5,1,sao paulo,SP,5,1,24.2,1.8,5,927.7
68,2476,santo andre,SP,1885,4,santo andre,SP,1885,4,11.66,4.05,1885,110324.34999999999
69,315,sao ludgero,SC,117,9,sao ludgero,SC,117,9,14.27,4.11,117,14710.300000000001
70,1267,araucaria,PR,23,3,araucaria,PR,23,3,11.83,3.87,23,4019.33
71,290,sao paulo,SP,150,17,sao paulo,SP,150,17,11.08,3.37,150,8954.52
72,1704,sao paulo,SP,1027,11,sao paulo,SP,1027,11,12.78,4.0,1027,17670.13
73,213,maringa,PR,569,6,maringa,PR,569,6,14.41,4.18,569,12351.55
74,2443,itapecerica da serra,SP,143,9,itapecerica da serra,SP,143,9,11.25,4.14,143,11023.15
75,2038,sao bernardo do campo,SP,16,1,sao bernardo do campo,SP,16,1,9.81,3.44,16,318.48
76,1633,itatiba,SP,333,3,itatiba,SP,333,3,15.83,3.75,333,32880.17
77,2892,andradas,SP,30,5,andradas,SP,30,5,11.9,4.1,30,3836.19
78,21,francisco beltrao,PR,91,8,francisco beltrao,PR,91,8,10.4,4.3,91,13018.56
79,1043,tabatinga,SP,6,2,tabatinga,SP,6,2,8.5,4.0,6,664.4000000000001
80,2315,santo andre,SP,28,1,santo andre,SP,28,1,11.11,4.36,28,3697.2000000000003
81,1846,tabatinga,SP,26,1,tabatinga,SP,26,1,12.28,3.85,26,2999.9900000000002
82,2590,ibitinga,SP,89,2,ibitinga,SP,89,2,13.89,3.94,89,4066.13
83,2561,mococa,SP,39,2,mococa,SP,39,2,12.16,3.41,39,2459.2
84,1698,navegantes,SC,70,4,navegantes,SC,70,4,10.83,4.43,70,17498.96
85,2957,cascavel,PR,24,2,cascavel,PR,24,2,18.27,3.67,24,7712.7699999999995
86,912,ribeirao preto,SP,1,1,ribeirao preto,SP,1,1,15.0,3.0,1,108.5
87,2986,curitiba,PR,81,3,curitiba,PR,81,3,9.99,4.2,81,2149.35
88,1150,santa barbara d´oeste,SP,361,7,santa barbara d´oeste,SP,361,7,11.64,3.98,361,118952.53
89,3080,sao paulo,SP,21,2,sao paulo,SP,21,2,11.0,3.71,21,23209.8
90,362,sao paulo,SP,150,1,sao paulo,SP,150,1,7.86,4.26,150,18445.66
91,157,tres coracoes,MG,236,3,tres coracoes,MG,236,3,12.7,4.08,236,18520.79
92,2612,praia grande,SP,568,6,praia grande,SP,568,6,11.41,4.1,568,42494.08
93,1464,curitiba,PR,401,2,curitiba,PR,401,2,14.95,4.07,401,48877.3
94,2227,sao paulo,SP,15,1,sao paulo,SP,15,1,6.0,4.27,15,806.8000000000001
95,3059,campinas,SP,308,2,campinas,SP,308,2,11.06,4.37,308,66496.51
96,1195,petropolis,RJ,817,2,petropolis,RJ,817,2,12.97,4.22,817,118220.6
97,456,apucarana,PR,39,3,apucarana,PR,39,3,13.05,4.26,39,8494.11
98,1674,sao paulo,SP,31,1,sao paulo,SP,31,1,12.97,3.77,31,4598.4
99,280,riberao preto,SP,274,12,riberao preto,SP,274,12,14.27,4.14,274,54915.79
100,2039,umuarama,PR,55,1,umuarama,PR,55,1,18.07,4.05,55,17765.8
101,2492,ribeirao preto,SP,142,9,ribeirao preto,SP,142,9,16.59,3.92,142,19774.7
102,3023,presidente prudente,SP,11,1,presidente prudente,SP,11,1,30.4,2.36,11,2459.89
103,996,maringa,PR,3,1,maringa,PR,3,1,25.67,4.0,3,792.0
104,1622,congonhal,MG,115,12,congonhal,MG,115,12,21.82,3.1,115,24346.38
105,1820,sao paulo,SP,1517,22,sao paulo,SP,1517,22,10.68,4.05,1517,135982.11000000002
106,1275,guaratuba,PR,6,4,guaratuba,PR,6,4,5.6,3.83,6,719.59
107,1519,osasco,SP,14,3,osasco,SP,14,3,13.93,3.5,14,417.47
108,298,assis,SP,9,4,assis,SP,9,4,16.67,4.0,9,1796.2
109,2930,sao paulo,SP,98,11,sao paulo,SP,98,11,12.31,4.09,98,8888.3
110,816,brasilia,DF,157,14,brasilia,DF,157,14,13.46,3.73,157,19142.44
111,798,sao paulo,SP,21,8,sao paulo,SP,21,8,14.33,4.05,21,2963.9
112,1636,belo horizonte,MG,548,6,belo horizonte,MG,548,6,14.72,4.2,548,16222.74
113,2013,campo mourao,PR,56,3,campo mourao,PR,56,3,13.16,4.54,56,14836.84
114,790,americana,SP,5,1,americana,SP,5,1,39.0,3.2,5,1603.5
