,seller_id,seller_city,seller_state,distinct_prod,distinct_categories,delivery_avg,review_avg,total_orders,total_income,avg_price_month
0,629,maua,SP,58,6,-7.52,4.43,58,2548.8,43.94
1,2724,maua,SP,229,6,-9.38,4.07,229,12520.1,54.67
2,476,belo horizonte,SP,126,4,-6.73,4.58,126,13544.95,107.5
3,2882,sao goncalo,RJ,142,2,-12.79,4.35,142,16443.100000000002,115.8
4,64,santo andre,SP,66,2,-10.29,4.35,66,7889.9,119.54
5,326,limeira,SP,22,7,-7.64,4.55,22,2461.41,111.88
6,854,guariba,SP,1178,10,-15.25,4.11,1178,236465.64,200.73
7,2150,pradopolis,SP,158,5,-16.57,4.17,158,45532.17,288.18
8,2613,formiga,MG,82,6,-10.11,4.59,82,16637.6,202.9
9,1557,barueri,SP,351,8,-11.3,4.21,351,182648.18,520.37
10,3019,sumare,SP,605,5,-13.39,4.34,605,202716.62,335.07
11,806,rio de janeiro,RJ,20,1,-16.0,1.25,20,2867.1000000000004,143.36
12,2387,guarulhos,SP,43,5,-16.05,3.21,43,13323.5,309.85
13,1537,ribeirao preto,SP,594,7,-15.96,4.0,594,121140.06,203.94
14,553,campinas,SP,215,11,-18.05,2.72,215,42331.41,196.89
15,212,laranjeiras do sul,SP,3,1,-18.67,2.67,3,1459.97,486.66
16,2270,guarulhos,SP,16,1,-11.56,4.19,16,3594.9,224.68
17,1082,conselheiro lafaiete,MG,45,3,-10.33,4.16,45,6833.0,151.84
18,1429,colombo,PR,87,4,-11.17,4.49,87,23096.6,265.48
19,302,pradopolis,SP,10,3,-12.22,3.9,10,2943.51,294.35
20,2586,cotia,SP,62,2,-10.14,4.23,62,20160.9,325.18
21,22,mogi das cruzes,SP,5,1,-6.8,5.0,5,1465.99,293.2
22,919,entre rios do oeste,PR,8,2,-13.0,4.0,8,4465.34,558.17
23,1250,belo horizonte,MG,162,1,-11.3,4.46,162,14953.3,92.3
24,526,mogi das cruzes,SP,172,5,-13.81,3.93,172,6182.74,35.95
25,1634,guarulhos,SP,457,1,-12.96,4.24,457,67912.45,148.6
26,2662,sao paulo,SP,61,2,-12.52,3.08,61,2475.2999999999997,40.58
27,257,atibaia,SP,411,7,-9.23,4.05,411,25811.04,62.8
28,1394,videira,SC,222,14,-15.36,4.0,222,37770.78,170.14
29,1216,sao jose do rio pardo,SP,7,2,-16.29,4.43,7,139.5,19.93
30,1532,itaquaquecetuba,SP,1454,6,-22.43,3.39,1454,198118.3,136.26
31,2035,itaquaquecetuba,SP,86,5,-21.35,3.43,86,12530.630000000001,145.7
32,959,itaquaquecetuba,SP,77,4,-26.25,3.06,77,9622.83,124.97
33,2353,lencois paulista,SP,1,1,-13.0,2.0,1,188.9,188.9
34,1,cariacica,ES,238,2,-12.9,3.91,238,24938.93,104.79
35,2177,rio do sul,SC,8,3,-5.75,3.88,8,1258.93,157.37
36,1652,porto alegre,RS,352,8,-10.83,4.36,352,32124.38,91.26
37,1894,sao jose dos campos,SP,211,3,-14.99,3.99,211,34656.72,164.25
38,509,sao paulo,SP,57,1,-8.35,4.39,57,24358.12,427.34
