review_comment_message,review_score
recebi bem antes do prazo estipulado ,5
parab ns lojas lannister adorei comprar pela internet seguro e pr tico parab ns a todos feliz p scoa,5
aparelho eficiente  no site a marca do aparelho esta impresso como  desinfector e ao chegar esta com outro nome   atualizar com a marca correta uma vez que   o mesmo aparelho,4
mas um pouco  travando   pelo valor ta boa   ,4
vendedor confi vel  produto ok e entrega antes do prazo ,5
gostaria de saber o que houve  sempre recebi e essa compra agora me decpcionou,2
p ssimo,1
loja nota   ,5
obrigado pela aten ao amim dispensada,5
a compra foi realizada facilmente   a entrega foi efetuada muito antes do prazo dado   o produto j  come ou a ser usado e at  o presente   sem problemas ,5
rel gio muito bonito e barato ,5
n o gostei   comprei gato por lebre,1
sempre compro pela internet e a entrega ocorre antes do prazo combinado  que acredito ser o prazo m ximo  no stark o prazo m ximo j  se esgotou e ainda n o recebi o produto ,1
recebi exatamente o que esperava  as demais encomendas de outros vendedores atrasaram  mas esta chegou no prazo ,4
recomendo  ,5
muito boa ,5
t  completamente apaixonada  loja super respons vel e confi vel ,5
nada de chegar o meu pedido ,1
muito bom  muito cheiroso ,5
otimo vendedor chegou ate antes do prazo   adorei o produto,5
processo de compra tranquilo e eficiente ,5
tomara q dure pois   de pelinho ,5
recebi somente   controle midea split estilo   faltou controle remoto para ar condicionado consul,1
boa,5
mt lindo,5
ocorreu tudo como contratado sendo a entrega realizada antes do prazo    estou satisfeita  ,5
amei achei lindo  muito delicado adorei,5
 tima loja para parceria  r pid ssima  produtos bem embalados e de qualidade  s  o custo do frete que foi meio azedo ,4
recomendo o vendedor    ,5
o produto n o chegou no prazo estipulado e causou transtorno  pq programei a viagem de f rias do meu filho  baseado no prazo  moro na bahia e ele em cuiab  sozinho  agora  a casa est  vazia  ,1
produto entregue como solicitado  e com muita brevidade  parab ns   ,5
eu comprei duas unidades e s  recebi uma e agora o que fa o ,3
produto bom  por m o que veio para mim n o condiz com a foto do an ncio ,3
produto muito inferior  mal acabado ,1
o kit mochila patrulha canina   lindo   meu netinho vai amar   obrigada  ,5
maravilha ,5
entrega no prazo,3
cumpriu o prometido na compra e com o uma entrega em tempo satisfat rio ,5
pedi reembolso e sem resposta at  momento ,1
super r pido ,5
satisfeito  ,5
estao de parabens    sempre chega com muiiita antecedencia      muito obrigada     ,5
ok recomendo,5
produto chegou  mas meu pc n o conseguiu reconhecer as portas usb ,3
produto de muito boa qualidade  chegou antes do prazo prometido,5
este foi o pedido  balde com     pe as   blocos de montar   un   r        cada  n o foi entregue   vendido e entregue targaryen  tapete de eva n  letras    pe as crian as   un   r         este foi entreg,1
entrega muito r pida  parab ns,5
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,1
estava faltando apenas um produto  eu recebi hoje   muito obrigada   tudo certo     att     elenice ,4
a bolsa t rmica al m de linda   super espa osa   produto de acordo com o anunciado e a entrega super r pida   entregou bem antes do prazo  ,5
demorou de mais pra entrega ,2
super rapido a entrega      chegou antes da data    ,5
a entrega foi dividida em duas  n o houve comunicado do loja  cheguei a pensar que s  haviam enviado parte do produto  ,3
n o funciona n o faz sincronismo,1
recomendo a todos os clientes,5
gostei ,3
otima,5
gostei muito do jogo de banho a estampa florida  o bordado  tudo muito bonito   timo produto ,5
chegou apenas uma pe a  mas na nota e na garantia constam as duas joias ,1
eu n o recebi o produto e consta no sistema que eu recebi al m de pagar caro do frete ,1
